REF_DATE,GEO,DGUID,Estimates,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1947-01,Canada,2016A000011124,Births,Number,223,units,0,v62,1.1,89319,,,,0
1947-01,Canada,2016A000011124,Deaths,Number,223,units,0,v77,1.2,30985,,,,0
1947-01,Canada,2016A000011124,Marriages,Number,223,units,0,v92,1.3,17309,,,t,0
1947-01,Prince Edward Island,2016A000211,Births,Number,223,units,0,v69,3.1,709,,,,0
1947-01,Prince Edward Island,2016A000211,Deaths,Number,223,units,0,v84,3.2,299,,,,0
1947-01,Prince Edward Island,2016A000211,Marriages,Number,223,units,0,v99,3.3,89,,,t,0
1947-01,Nova Scotia,2016A000212,Births,Number,223,units,0,v70,4.1,4764,,,,0
1947-01,Nova Scotia,2016A000212,Deaths,Number,223,units,0,v85,4.2,1628,,,,0
1947-01,Nova Scotia,2016A000212,Marriages,Number,223,units,0,v100,4.3,1048,,,t,0
1947-01,New Brunswick,2016A000213,Births,Number,223,units,0,v71,5.1,4427,,,,0
1947-01,New Brunswick,2016A000213,Deaths,Number,223,units,0,v86,5.2,1247,,,,0
1947-01,New Brunswick,2016A000213,Marriages,Number,223,units,0,v101,5.3,760,,,t,0
1947-01,Quebec,2016A000224,Births,Number,223,units,0,v72,6.1,28617,,,,0
1947-01,Quebec,2016A000224,Deaths,Number,223,units,0,v87,6.2,8815,,,,0
1947-01,Quebec,2016A000224,Marriages,Number,223,units,0,v102,6.3,3208,,,t,0
1947-01,Ontario,2016A000235,Births,Number,223,units,0,v73,7.1,27220,,,,0
1947-01,Ontario,2016A000235,Deaths,Number,223,units,0,v88,7.2,10875,,,,0
1947-01,Ontario,2016A000235,Marriages,Number,223,units,0,v103,7.3,6542,,,t,0
1947-01,Manitoba,2016A000246,Births,Number,223,units,0,v74,8.1,5002,,,,0
1947-01,Manitoba,2016A000246,Deaths,Number,223,units,0,v89,8.2,1781,,,,0
1947-01,Manitoba,2016A000246,Marriages,Number,223,units,0,v104,8.3,1041,,,t,0
1947-01,Saskatchewan,2016A000247,Births,Number,223,units,0,v75,9.1,5773,,,,0
1947-01,Saskatchewan,2016A000247,Deaths,Number,223,units,0,v90,9.2,1716,,,,0
1947-01,Saskatchewan,2016A000247,Marriages,Number,223,units,0,v105,9.3,980,,,t,0
1947-01,Alberta,2016A000248,Births,Number,223,units,0,v76,10.1,6214,,,,0
1947-01,Alberta,2016A000248,Deaths,Number,223,units,0,v91,10.2,1778,,,,0
1947-01,Alberta,2016A000248,Marriages,Number,223,units,0,v106,10.3,1461,,,t,0
1947-01,British Columbia,2016A000259,Births,Number,223,units,0,v64,11.1,6344,,,,0
1947-01,British Columbia,2016A000259,Deaths,Number,223,units,0,v79,11.2,2716,,,,0
1947-01,British Columbia,2016A000259,Marriages,Number,223,units,0,v94,11.3,2153,,,t,0
1947-01,Yukon,2016A000260,Births,Number,223,units,0,v65,12.1,53,,,,0
1947-01,Yukon,2016A000260,Deaths,Number,223,units,0,v80,12.2,22,,,,0
1947-01,Yukon,2016A000260,Marriages,Number,223,units,0,v95,12.3,16,,,t,0
1947-01,Northwest Territories including Nunavut,,Births,Number,223,units,0,v66,13.1,196,,,t,0
1947-01,Northwest Territories including Nunavut,,Deaths,Number,223,units,0,v81,13.2,108,,,t,0
1947-01,Northwest Territories including Nunavut,,Marriages,Number,223,units,0,v96,13.3,11,,,t,0
1947-04,Canada,2016A000011124,Births,Number,223,units,0,v62,1.1,96722,,,,0
1947-04,Canada,2016A000011124,Deaths,Number,223,units,0,v77,1.2,30269,,,,0
1947-04,Canada,2016A000011124,Marriages,Number,223,units,0,v92,1.3,37912,,,t,0
1947-04,Prince Edward Island,2016A000211,Births,Number,223,units,0,v69,3.1,835,,,,0
1947-04,Prince Edward Island,2016A000211,Deaths,Number,223,units,0,v84,3.2,256,,,,0
