ref_date,region,birth_or_death,num_people,growth_from_births
"1948-04-01 00:00:00",Canada,Births,89996,59408
"1948-04-01 00:00:00",Canada,Deaths,30588,59408
"1948-04-01 00:00:00",Manitoba,Deaths,1690,3229
"1948-04-01 00:00:00",Manitoba,Births,4919,3229
"1948-04-01 00:00:00","New Brunswick",Deaths,1321,3163
"1948-04-01 00:00:00","New Brunswick",Births,4484,3163
"1948-04-01 00:00:00","Northwest Territories including Nunavut",Births,166,15
"1948-04-01 00:00:00","Northwest Territories including Nunavut",Deaths,151,15
"1948-04-01 00:00:00","Nova Scotia",Deaths,1562,3012
"1948-04-01 00:00:00","Nova Scotia",Births,4574,3012
"1948-04-01 00:00:00",Ontario,Births,26360,15567
"1948-04-01 00:00:00",Ontario,Deaths,10793,15567
"1948-04-01 00:00:00","Prince Edward Island",Deaths,214,510
"1948-04-01 00:00:00","Prince Edward Island",Births,724,510
"1948-04-01 00:00:00",Quebec,Births,30012,21376
"1948-04-01 00:00:00",Quebec,Deaths,8636,21376
"1948-04-01 00:00:00",Saskatchewan,Births,5693,4051
"1948-04-01 00:00:00",Saskatchewan,Deaths,1642,4051
"1948-04-01 00:00:00",Yukon,Births,55,30
"1948-04-01 00:00:00",Yukon,Deaths,25,30
"1948-07-01 00:00:00",Alberta,Deaths,1606,4516
"1948-07-01 00:00:00",Alberta,Births,6122,4516
"1948-07-01 00:00:00","British Columbia",Deaths,2569,4362
"1948-07-01 00:00:00","British Columbia",Births,6931,4362
"1948-07-01 00:00:00",Canada,Births,90676,63146
"1948-07-01 00:00:00",Canada,Deaths,27530,63146
"1948-07-01 00:00:00",Manitoba,Deaths,1600,3298
"1948-07-01 00:00:00",Manitoba,Births,4898,3298
"1948-07-01 00:00:00","New Brunswick",Births,4463,3367
"1948-07-01 00:00:00","New Brunswick",Deaths,1096,3367
"1948-07-01 00:00:00","Northwest Territories including Nunavut",Deaths,77,75
"1948-07-01 00:00:00","Northwest Territories including Nunavut",Births,152,75
"1948-07-01 00:00:00","Nova Scotia",Births,4597,3206
"1948-07-01 00:00:00","Nova Scotia",Deaths,1391,3206
"1948-07-01 00:00:00",Ontario,Births,27030,17546
