ref_date,region,population,percent_of_total_pop
"1959-07-01 00:00:00",Alberta,1252000,7.15
"1959-07-01 00:00:00","British Columbia",1570000,8.96
"1959-07-01 00:00:00",Yukon,13000,0.07
"1959-07-01 00:00:00","Northwest Territories including Nunavut",21000,0.12
"1959-10-01 00:00:00",Canada,17624000,100.00
"1959-10-01 00:00:00","Newfoundland and Labrador",443000,2.51
"1959-10-01 00:00:00","Prince Edward Island",102000,0.58
"1959-10-01 00:00:00","Nova Scotia",722000,4.10
"1959-10-01 00:00:00","New Brunswick",584000,3.31
"1959-10-01 00:00:00",Quebec,5068000,28.76
"1959-10-01 00:00:00",Ontario,6020000,34.16
"1959-10-01 00:00:00",Manitoba,896000,5.08
"1959-10-01 00:00:00",Saskatchewan,912000,5.17
"1959-10-01 00:00:00",Alberta,1263000,7.17
"1959-10-01 00:00:00","British Columbia",1580000,8.97
"1959-10-01 00:00:00",Yukon,13000,0.07
"1959-10-01 00:00:00","Northwest Territories including Nunavut",21000,0.12
"1960-01-01 00:00:00",Canada,17710000,100.00
"1960-01-01 00:00:00","Newfoundland and Labrador",445000,2.51
"1960-01-01 00:00:00","Prince Edward Island",103000,0.58
"1960-01-01 00:00:00","Nova Scotia",722000,4.08
"1960-01-01 00:00:00","New Brunswick",585000,3.30
"1960-01-01 00:00:00",Quebec,5092000,28.75
"1960-01-01 00:00:00",Ontario,6054000,34.18
"1960-01-01 00:00:00",Manitoba,900000,5.08
"1960-01-01 00:00:00",Saskatchewan,911000,5.14
"1960-01-01 00:00:00",Alberta,1274000,7.19
"1960-01-01 00:00:00","British Columbia",1589000,8.97
"1960-01-01 00:00:00",Yukon,14000,0.08
"1960-01-01 00:00:00","Northwest Territories including Nunavut",21000,0.12
"1960-04-01 00:00:00",Canada,17793000,100.00
"1960-04-01 00:00:00","Newfoundland and Labrador",447000,2.51
"1960-04-01 00:00:00","Prince Edward Island",103000,0.58
"1960-04-01 00:00:00","Nova Scotia",725000,4.07
"1960-04-01 00:00:00","New Brunswick",587000,3.30
"1960-04-01 00:00:00",Quebec,5119000,28.77
"1960-04-01 00:00:00",Ontario,6083000,34.19
"1960-04-01 00:00:00",Manitoba,903000,5.08
"1960-04-01 00:00:00",Saskatchewan,912000,5.13
"1960-04-01 00:00:00",Alberta,1282000,7.21
"1960-04-01 00:00:00","British Columbia",1596000,8.97
"1960-04-01 00:00:00",Yukon,14000,0.08
