region,country_of_origin,total_num,num_men,num_women,total_percent,percent_men,percent_women
"Prince Edward Island","    Philippines",630,255,370,13,10.4,15.4
"Prince Edward Island","    Saudi Arabia",25,15,10,0.5,0.6,0.4
"Prince Edward Island","    Sri Lanka",30,20,15,0.6,0.8,0.6
"Prince Edward Island","    Syria",220,125,95,4.5,5.1,3.9
"Prince Edward Island","    Turkey",10,0,10,0.2,0,0.4
"Prince Edward Island","    United Arab Emirates",55,15,35,1.1,0.6,1.5
"Prince Edward Island","    Viet Nam",470,240,230,9.7,9.8,9.5
"Prince Edward Island","    Other places of birth in Asia",115,55,65,2.4,2.2,2.7
"Prince Edward Island","  Oceania and other",25,10,10,0.5,0.4,0.4
"Prince Edward Island","    Australia",20,10,10,0.4,0.4,0.4
"Prince Edward Island","    Other places of birth",0,0,0,0,0,0
"Nova Scotia","  Americas",12150,5780,6370,17,16.3,17.6
"Nova Scotia","    Brazil",440,205,230,0.6,0.6,0.6
"Nova Scotia","    Colombia",270,125,140,0.4,0.4,0.4
"Nova Scotia","    El Salvador",85,40,45,0.1,0.1,0.1
"Nova Scotia","    Guyana",255,110,140,0.4,0.3,0.4
"Nova Scotia","    Haiti",55,10,45,0.1,0,0.1
"Nova Scotia","    Jamaica",760,395,365,1.1,1.1,1
"Nova Scotia","    Mexico",350,185,165,0.5,0.5,0.5
"Nova Scotia","    Peru",115,55,55,0.2,0.2,0.2
"Nova Scotia","    Trinidad and Tobago",290,155,130,0.4,0.4,0.4
"Nova Scotia","    United States of America",7570,3435,4130,10.6,9.7,11.4
"Nova Scotia","    Other places of birth in Americas",1960,1045,915,2.7,2.9,2.5
"Nova Scotia","  Europe",23295,11615,11685,32.6,32.8,32.3
"Nova Scotia","    Bosnia and Herzegovina",265,130,135,0.4,0.4,0.4
"Nova Scotia","    Croatia",250,110,140,0.3,0.3,0.4
"Nova Scotia","    France",485,260,220,0.7,0.7,0.6
"Nova Scotia","    Germany",2370,1165,1210,3.3,3.3,3.3
"Nova Scotia","    Greece",300,130,165,0.4,0.4,0.5
"Nova Scotia","    Hungary",215,105,110,0.3,0.3,0.3
"Nova Scotia","    Italy",490,280,205,0.7,0.8,0.6
"Nova Scotia","    Netherlands",1465,795,670,2,2.2,1.9
"Nova Scotia","    Poland",765,340,425,1.1,1,1.2
"Nova Scotia","    Portugal",235,135,95,0.3,0.4,0.3
"Nova Scotia","    Romania",315,135,175,0.4,0.4,0.5
"Nova Scotia","    Russian Federation",710,330,375,1,0.9,1
"Nova Scotia","    Serbia",155,70,80,0.2,0.2,0.2
"Nova Scotia","    Ukraine",615,335,280,0.9,0.9,0.8
"Nova Scotia","    United Kingdom",11935,5930,6000,16.7,16.7,16.6
"Nova Scotia","    Other places of birth in Europe",2745,1355,1385,3.8,3.8,3.8
"Nova Scotia","  Africa",6575,3545,3035,9.2,10,8.4
"Nova Scotia","    Algeria",75,55,15,0.1,0.2,0
"Nova Scotia","    Congo, Democratic Republic of the",265,145,115,0.4,0.4,0.3
"Nova Scotia","    Egypt",970,525,450,1.4,1.5,1.2
"Nova Scotia","    Eritrea",120,85,35,0.2,0.2,0.1
"Nova Scotia","    Ethiopia",275,160,115,0.4,0.5,0.3
"Nova Scotia","    Morocco",150,60,85,0.2,0.2,0.2
"Nova Scotia","    Nigeria",1745,890,860,2.4,2.5,2.4
"Nova Scotia","    Somalia",130,80,50,0.2,0.2,0.1
"Nova Scotia","    South Africa, Republic of",705,360,350,1,1,1
"Nova Scotia","    Other places of birth in Africa",2135,1175,965,3,3.3,2.7
"Nova Scotia","  Asia",28940,14155,14785,40.4,40,40.9
"Nova Scotia","    Afghanistan",125,65,55,0.2,0.2,0.2
