CENSUS_YEAR,DGUID,ALT_GEO_CODE,GEO_LEVEL,GEO_NAME,TNR_SF,TNR_LF,DATA_QUALITY_FLAG,CHARACTERISTIC_ID,CHARACTERISTIC_NAME,CHARACTERISTIC_NOTE,C1_COUNT_TOTAL,SYMBOL,C2_COUNT_MEN+,SYMBOL,C3_COUNT_WOMEN+,SYMBOL,C10_RATE_TOTAL,SYMBOL,C11_RATE_MEN+,SYMBOL,C12_RATE_WOMEN+,SYMBOL
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1558,    Bosnia and Herzegovina,,40,,25,,10,,0.3,,0.3,,0.1,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1559,    Croatia,,45,,25,,20,,0.3,,0.3,,0.3,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1560,    France,,190,,85,,105,,1.3,,1.2,,1.5,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1561,    Germany,,245,,150,,95,,1.7,,2.1,,1.4,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1562,    Greece,,25,,15,,0,,0.2,,0.2,,0,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1563,    Hungary,,15,,0,,15,,0.1,,0,,0.2,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1564,    Italy,,95,,55,,40,,0.7,,0.8,,0.6,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1565,    Netherlands,,100,,60,,40,,0.7,,0.8,,0.6,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1566,    Poland,,60,,40,,25,,0.4,,0.6,,0.4,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1567,    Portugal,,80,,35,,45,,0.6,,0.5,,0.6,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1568,    Romania,,100,,45,,55,,0.7,,0.6,,0.8,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1569,    Russian Federation,,125,,60,,70,,0.9,,0.8,,1,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1570,    Serbia,86,10,,0,,10,,0.1,,0,,0.1,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1571,    Ukraine,,75,,25,,50,,0.5,,0.3,,0.7,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1572,    United Kingdom,87,2300,,1235,,1070,,16.1,,17.1,,15.3,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1573,    Other places of birth in Europe,,780,,475,,305,,5.5,,6.6,,4.4,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1574,  Africa,,1895,,1065,,835,,13.3,,14.7,,11.9,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1575,    Algeria,,30,,15,,15,,0.2,,0.2,,0.2,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1576,"    Congo, Democratic Republic of the",,80,,40,,40,,0.6,,0.6,,0.6,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1577,    Egypt,,205,,145,,60,,1.4,,2,,0.9,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1578,    Eritrea,,155,,95,,60,,1.1,,1.3,,0.9,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1579,    Ethiopia,,75,,40,,35,,0.5,,0.6,,0.5,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1580,    Morocco,,20,,15,,10,,0.1,,0.2,,0.1,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1581,    Nigeria,,455,,260,,200,,3.2,,3.6,,2.9,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1582,    Somalia,,15,,15,,0,,0.1,,0.2,,0,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1583,"    South Africa, Republic of",,185,,95,,85,,1.3,,1.3,,1.2,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1584,    Other places of birth in Africa,,675,,345,,325,,4.7,,4.8,,4.6,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1585,  Asia,,5590,,2680,,2910,,39.2,,37,,41.5,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1586,    Afghanistan,,0,,0,,0,,0,,0,,0,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1587,    Iran,88,140,,70,,70,,1,,1,,1,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1588,    Iraq,,190,,95,,90,,1.3,,1.3,,1.3,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1589,    Lebanon,,80,,45,,30,,0.6,,0.6,,0.4,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1590,    Syria,89,485,,245,,240,,3.4,,3.4,,3.4,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1591,    Turkey,,55,,40,,15,,0.4,,0.6,,0.2,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1592,    China,90,630,,280,,350,,4.4,,3.9,,5,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1593,    Hong Kong,91,85,,45,,45,,0.6,,0.6,,0.6,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1594,"    Korea, South",92,105,,25,,75,,0.7,,0.3,,1.1,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1595,    Taiwan,,50,,20,,35,,0.4,,0.3,,0.5,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1596,    Philippines,,1655,,685,,965,,11.6,,9.5,,13.8,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1597,    Viet Nam,,90,,45,,45,,0.6,,0.6,,0.6,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1598,    Bangladesh,,230,,130,,105,,1.6,,1.8,,1.5,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1599,    India,,830,,480,,355,,5.8,,6.6,,5.1,
